17:47:37.179 -> ⸮⸮d1
17:47:39.144 -> 0.012695, 1.002441, -0.152588, -2.931298, -12.335878, 0.916031
17:47:39.144 -> 0.024902, 1.010742, -0.143799, -2.320611, -13.190840, 0.916031
17:47:39.144 -> 0.025879, 1.002930, -0.066895, -1.832061, -12.885496, 0.671756
17:47:39.144 -> -0.001953, 1.003662, -0.054688, -1.099237, -12.213740, 0.977099
17:47:39.193 -> 3.630371, 0.998047, 0.957031, 15.511451, 104.244278, -4.641222
17:47:39.193 -> 0.220703, 0.268555, 2.077637, 42.870228, 2.870229, 1.954198
17:47:39.193 -> 0.046143, 1.015625, 0.230957, -16.977098, 3.725191, 0.122137
17:47:39.251 -> -0.373779, 0.746094, 1.337158, 8.061069, 7.389313, 1.038168
17:47:39.251 -> -0.427490, 1.112549, -0.861816, -22.412214, 0.122137, -0.122137
17:47:39.251 -> -0.304199, 0.697754, 1.244873, -1.770992, 6.778626, -0.122137
17:47:39.251 -> 0.039307, 1.157715, -1.256348, -19.725191, 0.366412, 0.793893
17:47:39.251 -> -0.057129, 0.945801, 0.569092, -5.923664, -3.236641, 0.793893
17:47:39.319 -> 0.239502, 1.104980, -0.612061, -3.175573, 4.152672, 0.732824
17:47:39.319 -> 0.146973, 0.963867, -0.691895, -6.839694, -4.641222, 1.038168
17:47:39.319 -> -0.072021, 1.024658, -0.378662, -14.961832, -2.809160, 0.305344
17:47:39.319 -> -0.009033, 1.081055, 0.622559, 9.770992, -5.923664, 1.465649
17:47:39.319 -> 0.098877, 0.993652, -0.523438, -2.198473, 1.893130, 0.610687
17:47:39.375 -> 0.055420, 1.076904, -0.307617, -5.679389, -1.648855, 1.038168
17:47:39.375 -> 0.074219, 1.062988, -0.289795, -2.870229, -1.404580, 1.099237
17:47:39.375 -> 0.114746, 1.038818, -0.691406, -6.595420, 1.099237, 0.671756
17:47:39.375 -> 0.000000, 1.021484, -0.137207, -9.038168, -1.221374, 0.854962
17:47:39.418 -> -0.014404, 1.036133, 0.098633, -1.770992, -0.427481, 0.732824
17:47:39.418 -> 0.001953, 0.992188, -0.079834, 0.916031, -0.549618, 0.793893
17:47:39.418 -> 0.033691, 1.002197, -0.215820, -6.167939, -1.404580, 0.977099
17:47:39.459 -> 0.013916, 1.053711, -0.183838, -3.847328, -2.015267, 0.916031
17:47:39.459 -> 0.017822, 1.005859, -0.058838, -2.503817, 0.549618, 0.793893
17:47:39.459 -> 0.021973, 0.981689, -0.063477, -2.198473, -0.671756, 0.671756
17:47:39.497 -> 0.024658, 1.003906, -0.076172, -3.358779, -0.732824, 0.732824
17:47:39.497 -> 0.011475, 1.004883, -0.156738, -3.297710, -0.122137, 0.793893
17:47:39.497 -> 0.021484, 0.994141, -0.155518, -4.030534, -1.038168, 0.793893
17:47:39.523 -> 0.023682, 1.023926, -0.169922, -4.519084, -0.916031, 0.732824
17:47:39.523 -> 0.010498, 1.014160, -0.143799, -3.236641, -0.793893, 0.732824
17:47:39.562 -> 0.021240, 0.995605, -0.108154, -3.114504, -0.671756, 0.732824
17:47:39.562 -> 0.017822, 1.015137, -0.112305, -3.175573, -1.038168, 0.610687
17:47:39.562 -> 0.020996, 1.013672, -0.134033, -3.236641, -0.549618, 0.793893
17:47:39.603 -> 0.007812, 1.013672, -0.134521, -3.480916, -1.526718, 0.732824
17:47:39.603 -> 0.030762, 1.017334, -0.113770, -3.419847, -0.427481, 0.793893
17:47:39.603 -> 0.026855, 1.011963, -0.135986, -3.053435, -0.793893, 0.854962
17:47:39.636 -> 0.012695, 1.010498, -0.118652, -3.053435, -0.916031, 0.732824
17:47:39.636 -> 0.014893, 1.014404, -0.122559, -3.114504, -0.549618, 0.732824
17:47:39.636 -> 0.021973, 1.010010, -0.112549, -3.175573, -0.732824, 0.732824
17:47:39.673 -> 0.019531, 1.012695, -0.109375, -3.175573, -0.671756, 0.732824
