ax, ay, az, gx, gy, gz, state
0.031982, 1.007568, -0.120850, -3.297710, -0.427481, 0.916031, closed
0.027588, 1.009766, -0.117676, -3.175573, -0.610687, 0.916031, closed
0.021973, 1.012207, -0.123047, -3.358779, -0.610687, 0.977099, closed
0.020264, 1.005859, -0.129150, -3.297710, -0.671756, 0.854962, closed
0.020020, 1.008789, -0.117188, -2.992366, -0.549618, 0.916031, closed
0.029541, 1.012451, -0.118896, -3.175573, -0.671756, 0.916031, closed
0.023926, 1.008545, -0.115234, -3.175573, -0.610687, 0.793893, closed
0.020752, 1.010742, -0.119873, -3.297710, -0.732824, 1.038168, closed
0.022217, 1.008789, -0.122314, -3.175573, -0.732824, 0.793893, closed
0.032471, 1.002930, -0.122803, -3.297710, -0.732824, 0.916031, closed
0.026123, 1.006836, -0.117432, -3.358779, -0.671756, 0.732824, closed
0.023926, 1.010254, -0.114014, -3.358779, -0.549618, 0.732824, closed
0.025635, 1.007324, -0.121094, -3.480916, -0.793893, 0.854962, closed
0.028809, 1.011475, -0.124023, -3.114504, -0.732824, 0.732824, closed
0.020996, 1.007324, -0.114502, -3.236641, -0.732824, 0.916031, closed
0.025146, 1.010010, -0.129395, -3.236641, -0.671756, 0.671756, closed
0.027344, 1.008545, -0.123291, -3.358779, -0.732824, 0.732824, closed
0.030762, 1.009521, -0.116211, -3.358779, -0.610687, 0.732824, closed
0.026611, 1.015625, -0.122070, -3.114504, -0.610687, 0.793893, closed
0.026611, 1.006348, -0.121338, -3.114504, -0.610687, 0.732824, closed
0.029053, 1.012451, -0.110596, -3.114504, -0.610687, 0.732824, closed
0.027832, 1.008301, -0.117920, -3.236641, -0.549618, 0.916031, closed
0.024170, 1.008545, -0.117920, -3.114504, -0.549618, 0.854962, closed
0.023438, 1.006348, -0.118652, -3.236641, -0.732824, 0.793893, closed
0.027832, 1.010498, -0.125977, -3.297710, -0.732824, 0.916031, closed
0.029053, 1.010010, -0.128174, -3.297710, -0.610687, 0.732824, closed
0.028564, 1.013672, -0.125977, -3.358779, -0.671756, 0.793893, closed
0.027832, 1.010742, -0.121582, -3.419847, -0.488550, 0.977099, closed
0.028076, 1.008057, -0.120117, -3.419847, -0.793893, 0.793893, closed
0.024170, 1.011230, -0.110596, -3.297710, -0.732824, 0.916031, closed
0.020996, 1.012207, -0.126709, -3.236641, -0.427481, 0.854962, closed
0.024902, 1.010498, -0.121582, -3.236641, -0.854962, 0.854962, closed
0.025879, 1.010010, -0.116211, -3.236641, -0.610687, 0.854962, closed
0.025391, 1.006836, -0.115723, -3.175573, -1.282443, 1.038168, closed
0.025635, 1.002930, -0.115234, -3.358779, -1.343511, 1.099237, closed
0.029785, 1.008789, -0.112549, -3.236641, -1.343511, 0.977099, closed
0.025391, 1.005371, -0.110596, -3.480916, -1.099237, 0.732824, closed
0.022461, 1.010010, -0.109619, -3.236641, -1.038168, 0.671756, closed
0.028809, 1.003906, -0.112549, -3.419847, -1.221374, 0.854962, closed
0.024170, 1.007812, -0.113281, -3.358779, -1.038168, 0.916031, closed
0.022949, 1.006836, -0.123047, -3.358779, -1.160305, 0.916031, closed
0.029053, 1.008789, -0.119141, -3.419847, -1.099237, 0.854962, closed
0.026123, 1.007080, -0.124512, -3.175573, -1.099237, 0.732824, closed
0.026367, 1.006836, -0.110352, -3.297710, -1.221374, 0.793893, closed
0.027344, 1.008057, -0.127441, -3.114504, -1.160305, 0.854962, closed
0.029297, 1.008789, -0.119629, -3.175573, -1.099237, 0.977099, closed
0.028076, 1.008057, -0.115967, -3.297710, -1.221374, 0.854962, closed
0.023438, 1.009521, -0.121582, -3.236641, -0.977099, 0.732824, closed
0.028320, 1.005371, -0.122314, -3.236641, -1.160305, 0.854962, closed
0.029541, 1.003662, -0.120850, -3.175573, -1.160305, 0.916031, closed
0.029053, 1.008301, -0.126953, -3.236641, -1.160305, 0.854962, closed
0.031494, 1.010742, -0.121826, -3.297710, -1.282443, 0.854962, closed
0.024170, 1.007812, -0.123047, -3.175573, -1.343511, 0.793893, closed
0.026367, 1.009766, -0.122314, -3.236641, -1.160305, 0.732824, closed
0.021973, 1.010010, -0.125732, -3.236641, -1.465649, 0.671756, closed
0.033203, 1.008301, -0.116943, -3.236641, -1.404580, 0.977099, closed
0.028809, 1.012207, -0.122559, -3.236641, -1.404580, 0.610687, closed
0.020996, 1.009277, -0.121826, -3.236641, -1.343511, 0.793893, closed
0.026611, 1.005859, -0.129395, -3.236641, -1.404580, 0.854962, closed
0.024170, 1.008545, -0.127930, -3.053435, -1.221374, 0.793893, closed
0.030029, 1.008057, -0.122803, -3.358779, -1.404580, 0.732824, closed
0.028320, 1.007324, -0.121826, -3.236641, -1.343511, 0.732824, closed
0.025391, 1.008545, -0.121338, -3.053435, -1.282443, 0.793893, closed
0.031494, 1.011475, -0.119141, -3.114504, -1.404580, 0.854962, closed
0.026367, 1.006592, -0.116699, -3.236641, -1.404580, 0.671756, closed
0.025391, 1.001465, -0.121826, -3.419847, -1.221374, 0.671756, closed
0.024170, 1.004883, -0.121094, -3.236641, -1.404580, 0.671756, closed
0.025146, 1.006592, -0.110596, -3.236641, -1.282443, 0.977099, closed
0.025635, 1.007568, -0.128662, -3.175573, -1.282443, 0.854962, closed
0.027832, 1.009521, -0.110107, -3.175573, -1.282443, 0.854962, closed
0.027344, 1.008057, -0.107422, -3.236641, -1.099237, 0.854962, closed
0.018555, 1.014160, -0.116211, -3.236641, -1.099237, 0.854962, closed
0.031250, 1.010742, -0.114014, -3.236641, -1.099237, 0.671756, closed
0.026123, 1.010010, -0.121582, -3.236641, -1.099237, 0.793893, closed
0.024902, 1.009766, -0.125732, -3.175573, -1.038168, 0.732824, closed
0.024658, 1.010254, -0.117676, -3.419847, -1.038168, 0.793893, closed
0.027344, 1.005615, -0.115723, -3.175573, -1.160305, 0.732824, closed
0.025879, 1.014160, -0.119629, -3.297710, -0.977099, 0.854962, closed
0.028564, 1.007568, -0.116943, -3.297710, -1.038168, 0.854962, closed
0.027588, 1.010986, -0.119141, -3.358779, -0.854962, 0.916031, closed
0.025635, 1.008545, -0.134277, -3.358779, -1.038168, 0.732824, closed
0.026855, 1.011963, -0.107422, -3.297710, -0.916031, 0.916031, closed
0.028320, 1.012695, -0.119873, -3.297710, -0.916031, 0.793893, closed
0.024658, 1.008545, -0.112061, -3.114504, -1.038168, 0.977099, closed
0.026855, 1.010254, -0.115723, -3.114504, -0.854962, 0.732824, closed
0.029053, 1.007324, -0.117432, -3.297710, -0.854962, 0.793893, closed
0.029053, 1.008789, -0.114502, -3.358779, -0.977099, 0.732824, closed
0.025146, 1.005859, -0.119141, -3.297710, -0.916031, 0.916031, closed
0.028076, 1.007080, -0.112793, -3.358779, -0.671756, 0.854962, closed
