ax,ay,az,gx,gy,gz,state
0.026611,1.007812,-0.113037,-3.236641,-0.671756,0.854962,open
0.027588,1.008545,-0.112793,-3.175573,-0.671756,0.793893,open
0.029541,1.013184,-0.118896,-3.480916,-0.610687,0.732824,open
0.029785,1.008545,-0.112549,-3.358779,-0.793893,0.916031,open
0.030273,1.004883,-0.113525,-3.419847,-0.671756,0.793893,open
0.030518,1.009277,-0.143066,-3.786260,-0.793893,0.793893,open
0.032959,1.013428,-0.119385,-3.358779,-0.793893,0.732824,open
0.027832,1.003174,-0.122559,-3.358779,-0.671756,0.916031,open
0.027344,1.011719,-0.115234,-3.297710,-0.793893,0.732824,open
0.026367,1.005371,-0.114990,-3.053435,-0.671756,0.610687,open
0.030762,1.007812,-0.121826,-3.236641,-0.793893,0.793893,open
0.033203,1.008789,-0.126709,-3.358779,-0.854962,0.671756,open
0.028076,1.008301,-0.123047,-3.358779,-0.854962,1.099237,open
0.025879,1.002930,-0.122070,-3.175573,-0.793893,0.610687,open
0.026123,0.999756,-0.115234,-3.175573,-0.916031,0.671756,open
0.020508,1.010010,-0.114014,-3.236641,-0.854962,0.977099,open
0.026855,1.011963,-0.119385,-3.236641,-0.793893,0.916031,open
0.028320,1.005371,-0.110352,-3.297710,-0.671756,0.793893,open
0.037109,1.010986,-0.105957,-3.297710,-0.916031,0.916031,open
0.027588,1.002930,-0.116699,-3.114504,-0.854962,0.671756,open
0.024902,1.011719,-0.112793,-3.053435,-0.488550,0.854962,open
0.029297,1.010254,-0.106445,-3.175573,-0.671756,0.916031,open
0.026611,1.008057,-0.118652,-3.053435,-0.793893,0.732824,open
0.025879,1.010986,-0.111816,-3.297710,-0.549618,0.854962,open
0.024170,1.011963,-0.102783,-3.236641,-0.793893,0.793893,open
0.027344,1.004395,-0.120850,-3.236641,-0.732824,0.793893,open
0.032959,1.002930,-0.115479,-3.175573,-0.671756,0.732824,open
0.019531,1.006104,-0.110107,-3.053435,-0.549618,0.854962,open
0.027344,0.997559,-0.119873,-3.114504,-0.671756,0.854962,open
0.023682,1.005371,-0.109619,-3.480916,-0.610687,0.732824,open
0.021729,1.007812,-0.128662,-3.297710,-0.671756,0.549618,open
0.024414,1.007812,-0.124023,-3.236641,-0.488550,0.977099,open
0.023926,1.012207,-0.122803,-3.175573,-0.793893,0.916031,open
0.032959,1.006104,-0.126221,-3.236641,-0.671756,0.977099,open
0.031982,1.006836,-0.124756,-3.480916,-0.854962,0.793893,open
0.031494,1.007812,-0.123291,-3.664122,-0.854962,0.732824,open
0.026855,1.009521,-0.118896,-3.419847,-0.854962,0.854962,open
0.026123,1.007324,-0.122314,-3.297710,-0.916031,0.732824,open
0.029785,1.008301,-0.120361,-3.297710,-0.916031,0.610687,open
0.034180,1.007812,-0.129150,-3.236641,-0.854962,0.793893,open
0.034912,1.014160,-0.117676,-3.297710,-1.160305,0.793893,open
0.022949,1.011719,-0.117920,-3.236641,-1.038168,0.732824,open
0.023193,1.000732,-0.128174,-3.358779,-1.160305,0.732824,open
0.024902,1.007324,-0.123779,-3.358779,-1.221374,0.732824,open
0.025146,1.008057,-0.112793,-3.175573,-1.282443,0.793893,open
0.029297,1.009277,-0.119141,-3.114504,-1.343511,0.549618,open
0.029541,1.008545,-0.124512,-3.175573,-1.099237,0.793893,open
0.034912,1.005615,-0.115234,-3.358779,-1.282443,0.916031,open
0.018311,1.019287,-0.114014,-3.358779,-1.099237,0.793893,open
0.027344,1.004395,-0.121582,-3.053435,-1.343511,0.854962,open
0.025635,1.008301,-0.106201,-3.236641,-1.099237,0.854962,open
