ax, ay, az, gx, gy, gz, state
0.003174, 0.981445, -0.018555, -3.297710, 0.305344, 0.549618, opening
-0.037598, 0.992188, -0.153076, -4.274809, 0.488550, 0.671756, opening
0.155029, 0.957275, -0.057617, -3.603053, 1.526718, 1.038168, opening
-0.051270, 1.030273, 0.183594, -3.358779, 1.648855, 0.671756, opening
-0.003418, 0.956543, 0.109375, -2.870229, 2.992366, 0.854962, opening
0.107666, 1.050781, 0.123047, -2.198473, 7.206107, 0.793893, opening
0.011230, 1.026123, 0.145996, -4.885496, 8.488549, 0.488550, opening
0.003662, 1.012207, 0.137695, -4.274809, 10.809160, 0.671756, opening
0.023438, 1.039795, 0.238525, -2.381679, 15.389313, 0.488550, opening
0.024658, 0.957275, 0.151855, -4.030534, 17.465649, 0.793893, opening
0.025146, 1.024902, 0.078125, -4.030534, 19.480917, 0.793893, opening
0.023438, 1.029053, 0.073730, -5.007634, 20.885496, 0.610687, opening
0.064453, 0.993652, -0.005371, -5.068702, 22.961832, 0.366412, opening
0.023682, 0.996338, -0.016846, -4.458015, 23.511450, 0.793893, opening
0.034668, 1.007324, -0.142334, -4.702290, 22.900763, 0.610687, opening
0.034912, 1.002441, -0.120361, -3.053435, 23.877863, 0.854962, opening
0.043213, 1.013672, -0.084473, -1.221374, 24.061069, 0.610687, opening
0.031494, 1.014404, -0.123535, -2.015267, 23.633589, 0.549618, opening
0.040527, 1.011230, -0.093262, -2.625954, 24.427481, 0.732824, opening
0.038330, 1.011230, -0.025879, -2.992366, 25.038168, 0.610687, opening
0.030762, 0.999512, 0.015869, -2.198473, 25.343512, 0.732824, opening
0.039062, 0.998291, 0.078369, -1.893130, 27.480917, 0.610687, opening
0.074219, 0.866699, 0.157471, -2.442748, 29.679390, 1.648855, opening
0.031982, 0.960938, 0.189941, -0.427481, 31.267176, 0.549618, opening
0.042969, 1.024902, 0.156982, -4.091603, 34.320610, 0.488550, opening
0.052979, 1.009766, 0.159180, -2.564886, 37.190842, 0.671756, opening
0.057373, 0.999756, 0.176025, -1.099237, 39.633587, 0.488550, opening
0.062256, 1.003174, 0.142334, -1.832061, 42.076336, 0.549618, opening
0.056885, 1.015625, 0.147705, -2.381679, 44.580154, 0.366412, opening
0.074463, 1.010986, 0.102539, -3.114504, 46.534351, 0.366412, opening
0.064453, 1.008301, 0.105225, -3.603053, 48.061069, 0.244275, opening
0.047119, 1.006104, 0.100830, -3.725191, 49.465649, 0.488550, opening
0.090332, 1.016113, 0.046875, -3.969466, 52.152672, 0.305344, opening
0.087158, 1.008545, 0.106689, -3.480916, 53.984734, 0.366412, opening
0.088135, 1.017578, 0.135742, -3.236641, 56.183205, 0.427481, opening
0.108154, 1.001221, 0.104980, -3.847328, 58.442749, 0.427481, opening
0.166748, 1.064453, -0.197754, -6.045802, 59.786259, 0.244275, opening
0.119873, 1.013916, 0.082275, -2.625954, 61.496185, 0.427481, opening
0.113037, 0.993408, 0.037109, -4.030534, 63.511452, 0.427481, opening
0.128906, 1.015625, 0.043213, -3.419847, 65.404579, 0.427481, opening
0.134521, 1.006348, 0.055176, -4.396946, 66.687019, 0.366412, opening
0.167725, 1.086182, -0.360596, -7.633588, 68.213737, 0.122137, opening
0.143311, 0.986084, 0.189453, -1.954198, 69.190842, 0.488550, opening
0.140869, 0.991455, 0.139648, -3.786260, 72.366409, 0.061069, opening
0.227051, 1.057373, -0.157227, -5.557252, 74.809158, 0.183206, opening
0.110107, 1.060547, 0.016846, -2.442748, 74.198471, 0.305344, opening
0.149414, 1.003906, 0.138428, -3.297710, 77.374046, 0.671756, opening
0.177002, 1.022217, 0.017578, -4.213740, 79.022903, 0.183206, opening
0.193604, 1.026855, -0.037842, -3.908397, 79.694656, 0.244275, opening
0.182617, 0.993652, 0.024902, -3.786260, 81.160309, 0.244275, opening
0.198486, 1.016846, -0.023926, -3.053435, 82.076340, 0.183206, opening
0.197510, 1.004150, -0.038330, -3.664122, 82.809158, 0.122137, opening
